question,answer
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 7477 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 8837 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 6402 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8566 kg/ha"
What crops are suitable for North Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 12531 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 12406 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 8953 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 6765 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 11824 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 14055 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 5676 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 13375 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 12058 kg/ha"
What crops are suitable for Coastal Goa with Saline soil (pH 7.5-8.5)?,"Suitable crops: Rice, Coconut, Fish Farming. Irrigation needs: Low. Yield: 14000 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 7497 kg/ha"
What crops are suitable for Hilly Goa with Lateritic soil (pH 5.5-6.5)?,"Suitable crops: Coconut, Cashew, Mango. Irrigation needs: Moderate. Yield: 9977 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 14920 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11436 kg/ha"
What crops are suitable for South Goa with Alluvial soil (pH 7.5-8.5)?,"Suitable crops: Rice, Vegetables, Pulses. Irrigation needs: Moderate. Yield: 14754 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 7193 kg/ha"
What crops are suitable for North Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 5073 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 13493 kg/ha"
What crops are suitable for Coastal Goa with Clayey soil (pH 7.5-8.5)?,"Suitable crops: Banana, Vegetables. Irrigation needs: Moderate. Yield: 13185 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 9584 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 12943 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 6625 kg/ha"
What crops are suitable for Hilly Goa with Red Loamy soil (pH 7.5-8.5)?,"Suitable crops: Spices (Pepper), Tea. Irrigation needs: Moderate. Yield: 11155 kg/ha"
What crops are suitable for South Goa with Sandy soil (pH 6.0-7.0)?,"Suitable crops: Watermelon, Pineapple. Irrigation needs: Low. Yield: 12229 kg/ha"
